Unnamed: 0.1,Unnamed: 0,Name,Gender,Birth date,Country,Job,First crime age ,Cause,Motive,Victim audience,Proven victims,Total victims,Level of cruelty,Crime longitude,Imprisoned years,Family,Weapon,Alive or dead,By whom,Imprisoned years processed,IQ processed,Consolidated Motive,Consolidated Victim Audience,Generation
108,108,Yuri Ivanov,Male,1956,Kazakhstan,Transportation,18,Resentment/Hate,Hate for women,Women,16,39,Hard,4,10000,No info,Bare hands,Dead,Prostitutes/Women,Death penalty,No info,Revenge or Hatred,Miscellaneous Groups,Baby Boomer Generation
109,109,Bakhtiyor Matyakubov,Male,09.04.1971,Uzbekistan ,Unemployed,17,Bullying,Desire for power,Women,11,11,Moderate,2,100,Eldest,Knife,Alive,Parents,Life imprisonment,No info,Desire for Power or Fame,Miscellaneous Groups,Generation X
110,110,Rustam Kiknadze,Male,1980,Kazakhstan,Unidentified,24,Resentment/Hate,Pervert,Women,5,8,Moderate,16,26,No info,Knife,Alive,Prostitutes/Women,"Prisoned for years, not for lifetime",No info,Sexual or Sadistic Pleasure,Miscellaneous Groups,Xennials
111,111,Borman's group,Male,1968,Kazakhstan,Unidentified,30,Resentment/Hate,Cleanse society by killing  and prostitutes,Prostitutes,28,33,Hard,2,100,No info,Hammer/Axes,Alive,Prostitutes/Women,Life imprisonment,No info,Cleansing or Societal Change,Prostitutes,Generation X
112,112,Ivan Mandzhikov,Male,1965,Kazakhstan,Unidentified,23,Without any Cause,No info,Young women,5,9,Hard,1,10000,No info,Knife,Dead,None/No one,Death penalty,Intellectual,Miscellaneous or Undefined,Young Individuals,Generation X
113,113,Sergei Yarovoi,Male,1963,Kazakhstan,Medical Employee,27,Resentment/Hate,Pervert,Women,8,9,Moderate,2,100,Middle,Metal object,Alive,Prostitutes/Women,Life imprisonment,No info,Sexual or Sadistic Pleasure,Miscellaneous Groups,Baby Boomer Generation
114,114,Monster of Florence,Male,No info,Italy,Unidentified,-,Without any Cause,No info,Couples,14,16,Hard,17,0,No info,Knife,Alive,None/No one,Not imprisoned/Other,Intellectual,Miscellaneous or Undefined,Miscellaneous Groups,Unknown
115,115,Joachim Kroll,Male,17.04.1933,Germany,Transportation,22,Without any Cause,Cannibalism ,Young girls,14,14,Hard,21,10000,Middle,Bare hands,Dead,None/No one,Death penalty,No info,Sexual or Sadistic Pleasure,Young Individuals,Silent Generation
116,116,Dr No,Male,No info,USA,Unidentified,-,Without any Cause,No info,Prostitutes and Dancers,9,12,Hard,9,0,No info,Bare hands,Alive,None/No one,Not imprisoned/Other,Intellectual,Miscellaneous or Undefined,Prostitutes,Unknown
117,117,Arthur Shawcross,Male,06.06.1945,USA,Labourer,27,Sexual abuse,Desire to cleanse the world of prostitutes,Prostitutes,14,14,Hard,17,10000,Eldest,Fire,Dead,Parents,Death penalty,No info,Cleansing or Societal Change,Prostitutes,Silent Generation
118,118,Richard Ramírez,Male,29.02.1960,USA,Labourer,24,Bullying,"Pervert, satanism",All,13,15,Hard,1,10000,Youngest,Metal object,Dead,Parents,Death penalty,No info,Sexual or Sadistic Pleasure,Miscellaneous Groups,Baby Boomer Generation
119,119,Antonina Makarova,Female,01.03.1920,Russia,Soldier,23,Resentment/Hate,Desire for revenge,Soldiers,163,1500,Easy,2,10000,Middle,Shooting,Dead,Social Circle,Death penalty,Intellectual,Revenge or Hatred,Miscellaneous Groups,The Greatest Generation
120,120,Joëlle Aubron,Female,14.09.1959,France,Soldier,23,Resentment/Hate,Desire for social change,Politics,5,7,Easy,1,24,No info,Shooting,Dead,Social Circle,"Prisoned for years, not for lifetime",Intellectual,Cleansing or Societal Change,Miscellaneous Groups,Baby Boomer Generation
121,121,Ludivine Chambet,Female,10.05.1983,France,Medical Employee,29,Death of close person,Desire for attention,Elders,10,13,Easy,1,35,No info,Pills/Injection,Alive,Parents,"Prisoned for years, not for lifetime",No info,Other Motives,Elderly,Xennials
122,122,Michel Fourniret,Male,04.04.1942,France,Teacher,42,Sexual abuse,Pervert,Women,9,12,Hard,16,100,Only child,Hammer/Axes,Dead,Prostitutes/Women,Life imprisonment,Intellectual,Sexual or Sadistic Pleasure,Miscellaneous Groups,Silent Generation
123,123,Kiyotaka Katsuta,Male,29.08.1948,Japan,Service,34,No parents,Robbery,All,8,22,Moderate,1,10000,Only child,Shooting,Dead,Parents,Death penalty,No info,Robbery or Material Gain,Miscellaneous Groups,Baby Boomer Generation
124,124,Naceur Damergi,Male,1944,Tunisia,Agriculture employee,36,Resentment/Hate,Revenge,Children,14,14,Hard,8,10000,Only child,Knife,Dead,Parents,Death penalty,No info,Revenge or Hatred,Children,Silent Generation
125,125,Sipho Thwala,Male,1977,South Africa,Police,20,Mental illness,Pervert,Young girls,16,19,Moderate,1,506,No info,Knife,Dead,Personality disorder,Life imprisonment,No info,Sexual or Sadistic Pleasure,Young Individuals,Xennials
126,126,Pierre Chanal,Male,18.11.1946,France,Soldier,34,Resentment/Hate,Pervert,Men,8,17,Moderate,8,10,Only child,Metal object,Dead,Prostitutes/Women,"Prisoned for years, not for lifetime",Intellectual,Sexual or Sadistic Pleasure,Men,Baby Boomer Generation
127,127,Saeed Hanaei,Male,1962,Iran,Unidentified,37,Bullying,Desire to cleanse prostitutes,Women,16,19,Moderate,1,10000,No info,Bare hands,Dead,Parents,Death penalty,No info,Cleansing or Societal Change,Miscellaneous Groups,Baby Boomer Generation
128,128,Vladimir Retunsky,Male,04.02.1950,Russia,Transportation,40,Without any Cause,No info,Hitchhikers,8,12,Hard,6,20,Eldest,Knife,Alive,None/No one,"Prisoned for years, not for lifetime",No info,Miscellaneous or Undefined,Miscellaneous Groups,Baby Boomer Generation
129,129,Muthukutty Chandran,Male,15.12.1951,India,Robber,35,No parents,Robbery,All,14,14,Hard,1,10000,Only child,Hammer/Axes,Dead,Parents,Death penalty,No info,Robbery or Material Gain,Miscellaneous Groups,Baby Boomer Generation
130,130,Jeffrey Dahmer,Male,21.05.1960,USA,Labourer,28,Mental illness,Desire for power,Young boys,16,17,Hard,14,160,Eldest,Bludgeon,Dead,Brain damage,Life imprisonment,No info,Desire for Power or Fame,Young Individuals,Baby Boomer Generation
131,131,Alexander Bychkov,Male,01.04.1988,Russia,Unemployed,21,Bullying,Revenge ,Alcocholic men,9,11,Hard,3,100,Eldest,Hammer/Axes,Alive,Parents,Life imprisonment,Intellectual,Revenge or Hatred,Men,Millennial/Gen Y
132,132,Jose Antonio Rodriguez Vega ,Male,03.12.1957,Spanish ,Police,30,Mental illness,Robbery,Elders,16,16,Easy,1,440,Only child,Bare hands,Dead,None/No one,Life imprisonment,No info,Robbery or Material Gain,Elderly,Baby Boomer Generation
133,133,Marcelo Costa de Andrade,Male,02.01.1967,Brazil,Male prostitute,24,Sexual abuse,Religion,Children,14,14,Hard,1,100,Youngest,Bare hands,Alive,Social Circle,Life imprisonment,No info,Other Motives,Children,Generation X
134,134,Sergei Martynov,Male,02.06.1962,Russia,Unidentified,30,Without any Cause,Cleaning of the society bcs he was bored,Women,9,9,Moderate,8,100,No info,Knife,Alive,None/No one,Life imprisonment,Uneducated,Cleansing or Societal Change,Miscellaneous Groups,Baby Boomer Generation
135,135,Kang Ho Sun,Male,10.10.1969,South Korea,Unidentified,37,Without any Cause,Desire for exciting experience,Women,10,10,Moderate,2,100,No info,Unidentified,Dead,None/No one,Life imprisonment,No info,Other Motives,Miscellaneous Groups,Generation X
136,136,Carrol Cole,Male,09.05.1938,USA,Transportation,10,Mental illness,Hate women,Prostitutes,16,16,Moderate,32,100,Middle,Pills/Injection,Dead,Brain damage,Life imprisonment,No info,Revenge or Hatred,Prostitutes,Silent Generation
137,137,Masten Wanjala,Male,2001,Kenya,Unemployed,14,Without any Cause,Blood drinking,Children,10,10,Moderate,6,0,No info,Unidentified,Dead,None/No one,Not imprisoned/Other,Intellectual,Other Motives,Children,Generation Z
138,138,Elifasi Msomi,Male,1910,South Africa,Unemployed,43,Bullying,Desire for power,Elders,15,15,Hard,3,10000,No info,Hammer/Axes,Dead,Parents,Death penalty,No info,Desire for Power or Fame,Elderly,Interbellum Generation
139,139,Hua Ruizhuo,Male,1973,China,Transportation,25,Resentment/Hate,Desire to take revenge on prostitutes,Prostitutes,14,14,Hard,3,10000,No info,Bare hands,Dead,Prostitutes/Women,Death penalty,No info,Revenge or Hatred,Prostitutes,Generation X
140,140,Zhou Kehua,Male,06.02.1970,China,Soldier,34,Without any Cause,Robbery,ATM users,10,10,Easy,8,0,Only child,Shooting,Dead,None/No one,Not imprisoned/Other,Intellectual,Robbery or Material Gain,Miscellaneous Groups,Generation X
141,141,Jeong Nam-gyu,Male,17.04.1969,South Korea,Service,35,Without any Cause,Desire for power,All,14,14,Moderate,2,0,No info,Metal object,Dead,None/No one,Not imprisoned/Other,No info,Desire for Power or Fame,Miscellaneous Groups,Generation X
142,142,Ali Kaya,Male,1980,Turkey,Police,17,Mental illness,Not asked,All,10,10,Moderate,17,5,No info,Knife,Alive,Personality disorder,"Prisoned for years, not for lifetime",No info,Mental Illness or Psychological Issues,Miscellaneous Groups,Xennials
143,143,Amir Qayyum,Male,1981,Pakistan,Robber,24,No parents,Desire to take revenge on society,Homeless,14,14,Moderate,1,10000,Only child,Rock,Dead,Parents,Death penalty,No info,Revenge or Hatred,Homeless,Xennials
144,144,Peter Sutcliffe,Male,02.06.1946,UK,Transportation,29,Bullying,Desire to cleanse prostitutes,Prostitues,13,33,Moderate,5,100,Middle,Bludgeon,Dead,Parents,Life imprisonment,No info,Cleansing or Societal Change,Prostitutes,Baby Boomer Generation
145,145,David Randitsheni,Male,1964,South Africa,Unidentified,40,Without any Cause,No info,All,10,27,Moderate,4,220,No info,Unidentified,Dead,None/No one,Life imprisonment,No info,Miscellaneous or Undefined,Miscellaneous Groups,Baby Boomer Generation
146,146,Stanislav Rogolev,Male,14.02.1941,Russia,Police,39,Death of close person,No info,Women,10,10,Moderate,2,10000,No info,Knife,Dead,Family members,Death penalty,Intellectual,Miscellaneous or Undefined,Miscellaneous Groups,Silent Generation
147,147,Denis Kazungu,Male,1989,Rwanda,Businessman,34,Without any Cause,No info,Women,14,14,Hard,1,100,No info,Unidentified,Alive,None/No one,Life imprisonment,No info,Miscellaneous or Undefined,Miscellaneous Groups,Millennial/Gen Y
148,148,Tamara Samsanova,Female,25.04.1947,Russia,Housewife,48,Mental illness,"Desire for attention, cannibalism",Elders,13,15,Hard,20,100,No info,Metal object,Alive,Brain damage,Life imprisonment,No info,Sexual or Sadistic Pleasure,Elderly,Baby Boomer Generation
149,149,Dagmar Overbye,Female,23.04.1937,Denmark,Teacher,26,Without any Cause,Getting rid of children outside of marriage,Children,9,15,Hard,7,10000,No info,Heater,Dead,None/No one,Death penalty,No info,Other Motives,Children,Silent Generation
150,150,Jake Bird,Male,14.12.1901,USA,Service,29,Unique,Racism,White women,13,46,Hard,17,10000,No info,Hammer/Axes,Dead,None/No one,Death penalty,No info,Other Motives,Miscellaneous Groups,Interbellum Generation
151,151,Li Wenxiang,Male,1952,China,Labourer,39,Resentment/Hate,Hate women with surname Wang or Xie,Women,13,14,Moderate,5,10000,No info,Knife,Dead,Prostitutes/Women,Death penalty,No info,Revenge or Hatred,Miscellaneous Groups,Baby Boomer Generation
152,152,Kaspars Petrovs,Male,1978,Latvia,Unemployed,25,Without any Cause,Robbery,Elderly women,13,38,Easy,1,0,No info,Bare hands,Alive,None/No one,Not imprisoned/Other,No info,Robbery or Material Gain,Elderly,Xennials
153,153,Timothy Krajcir,Male,28.11.1944,USA,Unemployed,56,Resentment/Hate,Pervert,Women,9,9,Moderate,1,100,Only child,Bare hands,Alive,Prostitutes/Women,Life imprisonment,Intellectual,Sexual or Sadistic Pleasure,Miscellaneous Groups,Silent Generation
154,154,Charles Sobhraj,Male,06.04.1944,Vietnam,Unemployed,31,Without any Cause,Robbery,Tourists,12,30,Moderate,1,10000,Middle,Unidentified,Dead,None/No one,Death penalty,No info,Robbery or Material Gain,Miscellaneous Groups,Silent Generation
155,155,William Suff,Male,20.08.1950,USA,Soldier,36,Resentment/Hate,Pervert,All,13,23,Hard,6,170,No info,Knife,Alive,Prostitutes/Women,Life imprisonment,Intellectual,Sexual or Sadistic Pleasure,Miscellaneous Groups,Baby Boomer Generation
156,156,Maury Travis,Male,25.10.1965,USA,Labourer,35,Bullying,Desire for power,Women,12,17,Hard,2,100,Eldest,Hammer/Axes,Dead,Parents,Life imprisonment,No info,Desire for Power or Fame,Miscellaneous Groups,Generation X
157,157,Dennis Nilsen,Male,23.11.1945,UK,Soldier,33,Bullying,Desire for power,Young men,12,16,Hard,5,100,Middle,Knife,Dead,Parents,Life imprisonment,No info,Desire for Power or Fame,Young Individuals,Silent Generation
158,158,Francisco Antonio Laureana,Male,1954,Argentina,Labourer,20,Resentment/Hate,Pervert,Women,13,13,Hard,2,10000,No info,Bare hands,Dead,Prostitutes/Women,Death penalty,No info,Sexual or Sadistic Pleasure,Miscellaneous Groups,Baby Boomer Generation
159,159,Mark Goudeau,Male,06.09.1964,USA,Unidentified,41,Without any Cause,No info,All,9,9,Easy,1,100,No info,Shooting,Alive,None/No one,Life imprisonment,No info,Miscellaneous or Undefined,Miscellaneous Groups,Baby Boomer Generation
